province,place,activity,description,primary_type,sub_types
Quảng Nam,Hòn Kẽm Đá Dừng,Đi thuyền trên sông Thu Bồn; ngắm cảnh vách đá,"Hòn Kẽm Đá Dừng mang vẻ đẹp sơn thủy hữu tình với hai vách đá dựng đứng cao ngất soi bóng xuống dòng sông Thu Bồn thơ mộng. Ngồi thuyền xuôi dòng, du khách sẽ được lắng nghe những câu hò xứ Quảng vang vọng và chiêm ngưỡng bức tranh thiên nhiên kỳ vĩ.",Sinh thái - Thiên nhiên,Văn hóa
Cao Bằng,Thác Bản Giốc,Ngắm thác nước; đi bè trên sông; chụp ảnh biên giới,"Thác Bản Giốc là thác nước xuyên quốc gia lớn nhất Đông Nam Á, mang vẻ đẹp kỳ vĩ và tráng lệ giữa đại ngàn. Những tầng nước đổ xuống trắng xóa như dải lụa, tạo nên bức tranh thiên nhiên tuyệt mỹ tại vùng biên cương phía Bắc.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Lạng Sơn,Chùa Tam Thanh,Tham quan hang động; lễ Phật; ngắm thạch nhũ,"Chùa Tam Thanh nằm trong hang động kỳ ảo với những nhũ đá thiên nhiên tuyệt đẹp và tượng Phật trầm mặc. Đây là di tích lịch sử văn hóa nổi tiếng xứ Lạng, nơi du khách tìm thấy sự tĩnh lặng giữa lòng núi đá vôi đồ sộ.",Tâm linh,Văn hóa;Lịch sử
Điện Biên,Tượng đài Chiến thắng Điện Biên Phủ,Tham quan di tích; tìm hiểu lịch sử; ngắm toàn cảnh thành phố,"Tượng đài tọa lạc trên đồi D1, là biểu tượng cho chiến thắng lừng lẫy năm châu của dân tộc Việt Nam. Từ đây, du khách có thể phóng tầm mắt bao quát toàn bộ thung lũng Mường Thanh hào hùng.",Văn hóa,Lịch sử
Ninh Bình,Động Am Tiên (Tuyệt Tình Cốc),Tham quan hồ nước; leo núi; ngắm cảnh vách đá,"Nằm trong thung lũng biệt lập tại cố đô Hoa Lư, Động Am Tiên mang vẻ đẹp u huyền với mặt hồ xanh trong vắt uốn lượn dưới chân núi. Đây là nơi lý tưởng để tìm kiếm sự bình yên và lưu lại những khung hình lãng mạn.",Sinh thái - Thiên nhiên,Tâm linh
Nam Định,Nhà thờ Đổ Hải Lý,Chụp ảnh kiến trúc hoang sơ; đón bình minh biển,Nhà thờ Đổ mang vẻ đẹp điêu tàn nhưng vô cùng cuốn hút giữa bãi biển bao la. Những bức tường gạch cũ nát chống chọi với sóng gió tạo nên một bối cảnh nghệ thuật độc đáo cho du khách và các nhiếp ảnh gia.,Biển Đảo,Kiến trúc;Sinh thái - Thiên nhiên
Nghệ An,Rừng quốc gia Pù Mát,Trekking rừng; đi thuyền sông Giăng; ngắm chim,"Pù Mát là kho tàng đa dạng sinh học quý giá với những loài động vật quý hiếm như Sao La. Du khách sẽ được trải nghiệm cuộc sống hoang dã, hòa mình vào dòng sông Giăng trong vắt và khám phá văn hóa tộc người Đan Lai.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Quảng Bình,Biển Nhật Lệ,Tắm biển; ăn mực nhảy; ngắm hoàng hôn cửa sông,"Biển Nhật Lệ sở hữu bãi cát trắng mịn và làn nước trong xanh, nằm ngay cạnh trung tâm thành phố Đồng Hới. Đây là nơi tuyệt vời để thưởng thức hải sản tươi sống và cảm nhận sự giao thoa giữa sông và biển.",Biển Đảo,Giải trí - Nghỉ dưỡng
Khánh Hòa,Vịnh Vân Phong,Đi bộ xuyên biển Điệp Sơn; lặn ngắm san hô; tắm biển hoang sơ,Vân Phong là một trong những vịnh biển đẹp nhất thế giới với hệ sinh thái biển nguyên sơ và những hòn đảo vắng người. Trải nghiệm đi bộ trên con đường cát giữa lòng biển tại đảo Điệp Sơn là kỷ niệm khó quên.,Biển Đảo,Mạo hiểm - Trải nghiệm
Ninh Thuận,Vườn quốc gia Núi Chúa,Trekking rừng khô hạn; ngắm vịnh Vĩnh Hy,"Núi Chúa sở hữu hệ sinh thái rừng khô hạn độc nhất vô nhị tại Việt Nam, nơi núi sát biển tạo nên những cảnh quan kỳ thú. Hành trình chinh phục đỉnh núi giúp du khách khám phá những bãi biển ẩn mình đẹp mê hồn.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Kon Tum,Nhà thờ Gỗ Kon Tum,Tham quan kiến trúc Roman; tìm hiểu văn hóa bản địa,"Nhà thờ Gỗ là sự kết hợp tinh tế giữa kiến trúc phương Tây và kiểu nhà sàn truyền thống của người Ba Na. Với vật liệu hoàn toàn bằng gỗ và những hoa văn chạm trổ tỉ mỉ, đây là biểu tượng văn hóa của vùng đất Tây Nguyên.",Văn hóa,Tâm linh;Kiến trúc
Gia Lai,Hồ T'Nưng (Biển Hồ),Dạo bộ ven hồ; chụp ảnh rừng thông; ngắm hoa dã quỳ,"Biển Hồ được mệnh danh là 'đôi mắt Pleiku', là một hồ nước ngọt khổng lồ hình thành từ miệng núi lửa đã tắt. Con đường dẫn vào hồ với những hàng thông già rì rào tạo nên không gian lãng mạn như phim.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Bình Phước,Vườn quốc gia Bù Gia Mập,Trekking rừng; tắm suối; xem thú đêm,"Bù Gia Mập là điểm đến cho những người yêu thiên nhiên hoang dã. Với hệ động thực vật phong phú và những dòng suối mát lạnh, đây là nơi tuyệt vời để thử thách bản thân với những chuyến băng rừng dài ngày.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Tây Ninh,Núi Bà Đen,Đi cáp treo; lễ Phật Bà; trekking đỉnh núi,Núi Bà Đen là nóc nhà Nam Bộ với quần thể tâm linh trang nghiêm và kiến trúc hiện đại. Tượng Phật Bà Tây Bổ Đà Sơn sừng sững trên đỉnh núi giữa biển mây là hình ảnh biểu tượng thu hút hàng triệu lữ khách.,Tâm linh,Mạo hiểm - Trải nghiệm
Bà Rịa - Vũng Tàu,Côn Đảo,Viếng mộ chị Võ Thị Sáu; tham quan nhà tù; tắm bãi Đầm Trầu,"Côn Đảo là vùng đất thiêng liêng vừa mang giá trị lịch sử hào hùng, vừa sở hữu những bãi biển hoang sơ đẹp bậc nhất thế giới. Không gian yên bình và tâm linh nơi đây mang lại sự tĩnh lặng tuyệt đối cho tâm hồn.",Văn hóa,Biển Đảo;Lịch sử
Tiền Giang,Cù Lao Thới Sơn,Đi xuồng chèo; nghe đờn ca tài tử; thưởng thức trái cây vườn,"Thới Sơn mang lại trải nghiệm đậm chất miệt vườn sông nước miền Tây. Du khách sẽ được đội nón lá, ngồi xuồng len lỏi qua các kênh rạch nhỏ xanh mướt rặng dừa nước và thưởng thức mật ong tại vườn.",Văn hóa,Ẩm thực;Giải trí - Nghỉ dưỡng
Vĩnh Long,Cù lao An Bình,Tham quan nhà cổ; hái trái cây; ngủ homestay miệt vườn,Cù lao An Bình mang vẻ đẹp bình dị với những vườn trái cây trĩu quả quanh năm và những ngôi nhà cổ mái ngói rêu phong. Đây là nơi lý tưởng để trải nghiệm cuộc sống chậm rãi và lòng hiếu khách của người dân miền Tây.,Văn hóa,Ẩm thực;Giải trí - Nghỉ dưỡng
Cần Thơ,Chợ nổi Cái Răng,Đi ghe trải nghiệm chợ nổi; ăn sáng trên sông; mua trái cây,"Cái Răng là chợ nổi lớn nhất và đặc sắc nhất miền Tây, nơi diễn ra các hoạt động mua bán sầm uất ngay trên mặt nước từ lúc rạng sáng. Cảm giác ăn một bát bún riêu nóng hổi trên chiếc ghe đang dập dềnh là trải nghiệm khó quên.",Văn hóa,Ẩm thực
Hậu Giang,Khu bảo tồn Lung Ngọc Hoàng,Đi xuồng ngắm rừng tràm; quan sát chim quý,"Lung Ngọc Hoàng được mệnh danh là 'lá phổi xanh' của vùng đất Hậu Giang với hệ sinh thái đất ngập nước đa dạng. Đây là nơi bảo tồn nhiều loài động thực vật quý hiếm, mang lại không gian tĩnh lặng cho những ai yêu thiên nhiên.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Trà Vinh,Ao Bà Om,Dạo bộ dưới hàng cây cổ thụ; viếng chùa Ang,"Ao Bà Om là danh thắng đẹp nhất Trà Vinh với mặt hồ phẳng lặng và hàng cây sao, dầu cổ thụ bao quanh với bộ rễ trồi lên mặt đất hình thù kỳ dị. Đây là không gian gắn liền với những truyền thuyết dân gian đậm chất văn hóa Khmer.",Sinh thái - Thiên nhiên,Văn hóa;Tâm linh
Bạc Liêu,Nhà Công tử Bạc Liêu,Tham quan kiến trúc biệt thự; nghe chuyện kể về công tử,"Ngôi nhà được xây dựng theo kiến trúc Pháp sang trọng, là nơi gắn liền với những giai thoại ăn chơi lừng lẫy của Công tử Bạc Liêu một thời. Du khách sẽ được tận mắt thấy những đồ nội thất cổ quý giá và hiểu thêm về văn hóa một thời.",Văn hóa,Lịch sử
Hà Giang,Đèo Mã Pí Lèng,Ngắm vực thẳm sông Nho Quế; chụp ảnh cung đường đèo,"Mã Pí Lèng là một trong 'tứ đại đỉnh đèo' của Việt Nam, nơi có cảnh quan hùng vĩ đến ngạt thở. Con đường Hạnh Phúc uốn lượn bên vách đá dựng đứng nhìn xuống dòng sông Nho Quế xanh ngọc là thách thức cho mọi tay lái.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên
Hà Giang,Cột mốc 0km Hà Giang,Chụp ảnh kỷ niệm; dạo bộ công viên,"Cột mốc số 0 là điểm bắt đầu của con đường Hạnh Phúc huyền thoại, nằm ngay trung tâm thành phố Hà Giang. Đây là điểm check-in không thể thiếu đối với mọi du khách trước khi bắt đầu hành trình chinh phục cao nguyên đá Đồng Văn hùng vĩ.",Văn hóa,Giải trí - Nghỉ dưỡng
Hà Giang,Dốc Thẩm Mã,Ngắm cảnh đèo; chụp ảnh cùng trẻ em bản địa; ngắm dốc uốn lượn,"Dốc Thẩm Mã là cung đường đèo uốn lượn hình chữ S nổi tiếng nối liền thành phố Hà Giang và huyện Yên Minh. Từ đỉnh dốc, du khách có thể ngắm nhìn toàn cảnh con đường đèo hiểm trở và những dãy núi đá vôi trập trùng của vùng cao.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Hà Giang,Phó Bảng,Dạo phố cổ; chụp ảnh nhà trình tường; ngắm hoa hồng,"Phó Bảng được ví như một thị trấn bị lãng quên với những ngôi nhà trình tường cổ kính, mái ngói âm dương và những hàng rào đá rêu phong. Không gian nơi đây yên tĩnh và thơ mộng, mang đậm nét cổ xưa của vùng cao nguyên đá.",Văn hóa,Giải trí - Nghỉ dưỡng
Hà Giang,Bản Du Già,Tắm suối; nhảy thác; trekking bản làng,"Du Già là một bản làng bình yên nằm sâu trong thung lũng của Hà Giang, nổi tiếng với dòng thác xanh ngắt và những cánh đồng lúa chín vàng. Đây là địa điểm lý tưởng để du khách trải nghiệm cuộc sống dân dã và hòa mình vào thiên nhiên hoang sơ.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Cao Bằng,Suối Lê Nin,Ngắm cảnh suối xanh; tham quan hang Pác Bó,Suối Lê Nin với làn nước trong xanh màu ngọc bích quanh năm là một phần của khu di tích lịch sử Pác Bó. Du khách đến đây không chỉ để vãn cảnh đẹp như tranh thủy mặc mà còn để tìm hiểu về cuộc đời hoạt động cách mạng của Bác Hồ.,Văn hóa,Sinh thái - Thiên nhiên;Lịch sử
Cao Bằng,Động Ngườm Ngao,Tham quan thạch nhũ kỳ ảo; chụp ảnh hang động,"Động Ngườm Ngao là một trong những hang động đẹp nhất Việt Nam với hệ thống thạch nhũ và măng đá vô cùng phong phú, có hình dáng kỳ thú. Không gian hang động rộng lớn và huyền ảo mang lại cảm giác chinh phục cho du khách.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Cao Bằng,Phia Oắc - Phia Đén,Săn tuyết vào mùa đông; trekking rừng nguyên sinh,"Vườn quốc gia Phia Oắc - Phia Đén là lá phổi xanh của Cao Bằng với đỉnh núi cao quanh năm mây phủ. Vào những ngày đại hàn, nơi đây trở thành địa điểm săn tuyết lý tưởng, thu hút đông đảo du khách đến khám phá vẻ đẹp băng giá.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Cao Bằng,Làng rèn Phúc Sen,Tìm hiểu nghề rèn truyền thống; mua dao thủ công,"Làng rèn Phúc Sen nổi tiếng với kỹ thuật làm dao thủ công điêu luyện của người dân tộc Nùng. Du khách sẽ được tận mắt chứng kiến quy trình tôi thép, rèn lưỡi bằng tay và chọn mua cho mình những vật dụng nhà bếp chất lượng cao.",Văn hóa,Giải trí - Nghỉ dưỡng
Bắc Kạn,Động Puông,Đi thuyền xuyên hang; ngắm thạch nhũ; xem đàn dơi,"Động Puông là một hang động thông hai đầu nằm trên dòng sông Năng uốn lượn, nơi dòng nước chảy xuyên qua lòng núi đá vôi kỳ vĩ. Ngồi thuyền xuyên qua hang, du khách sẽ choáng ngợp trước những vách đá cao vút và hàng ngàn con dơi cư ngụ.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Bắc Kạn,Ao Tiên,Ngắm cảnh hồ tĩnh lặng; trekking nhẹ; chụp ảnh,"Ao Tiên là một hồ nước nhỏ nằm biệt lập trên đỉnh núi đá vôi gần hồ Ba Bể, quanh năm mặt nước phẳng lặng như gương. Truyền thuyết kể rằng đây là nơi các nàng tiên thường xuống tắm, mang lại vẻ đẹp huyền bí và thanh tịnh.",Sinh thái - Thiên nhiên,Tâm linh
Tuyên Quang,Khu di tích Tân Trào,Tham quan đình Tân Trào; lán Nà Nưa; tìm hiểu lịch sử,"Tân Trào là thủ đô kháng chiến gắn liền với những thời khắc trọng đại của dân tộc Việt Nam. Du khách sẽ được tham quan cây đa Tân Trào lịch sử, lán Nà Nưa nơi Bác Hồ từng ở và làm việc để chuẩn bị cho Tổng khởi nghĩa tháng Tám.",Văn hóa,Lịch sử
Tuyên Quang,Na Hang,Đi thuyền trên hồ Na Hang; ngắm núi Pắc Tạ,"Na Hang là khu bảo tồn thiên nhiên với cảnh quan sơn thủy hữu tình, nơi hội tụ của hai dòng sông Gâm và sông Năng. Du khách sẽ được lênh đênh trên lòng hồ mênh mông, ngắm nhìn cọc Vài Phạ và tận hưởng không khí trong lành của núi rừng.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Thái Nguyên,Bảo tàng Văn hóa các Dân tộc Việt Nam,Tìm hiểu văn hóa 54 dân tộc; xem trưng bày hiện vật,"Đây là một trong những bảo tàng lớn nhất Việt Nam, nơi tái hiện sinh động đời sống, phong tục tập quán và trang phục của cộng đồng 54 dân tộc anh em. Với khuôn viên rộng và kiến trúc đặc trưng, đây là địa điểm học tập văn hóa bổ ích.",Văn hóa,Giải trí - Nghỉ dưỡng
Thái Nguyên,Suối Cửa Tử,Trekking suối; nhảy thác; cắm trại dã ngoại,"Suối Cửa Tử là điểm đến mạo hiểm mới nổi với dòng nước mát lạnh và những tảng đá lớn nằm giữa rừng già. Hành trình chinh phục các cửa của dòng suối đòi hỏi sức bền và tinh thần khám phá, mang lại trải nghiệm dã ngoại cực đỉnh.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên
Phú Thọ,Đồi chè Long Cốc,Ngắm đồi chè hình bát úp; chụp ảnh bình minh,"Long Cốc được mệnh danh là vịnh Hạ Long trên cạn của vùng đất Tổ với hàng trăm đồi chè tròn trịa xếp chồng lên nhau. Vào sáng sớm khi sương mù bao phủ, cảnh sắc nơi đây hiện lên như một bức tranh thủy mặc vô cùng lộng lẫy.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Bắc Giang,Khu du lịch sinh thái Suối Mỡ,Lễ đền Hạ - Trung - Thượng; tắm suối,Suối Mỡ nổi tiếng với phong cảnh thiên nhiên hữu tình với dòng suối chảy qua các tầng đá và là nơi thờ Thánh Mẫu Thượng Ngàn. Du khách đến đây để vừa tham gia tín ngưỡng tâm linh vừa thư giãn bên làn nước mát lạnh giữa rừng già.,Tâm linh,Sinh thái - Thiên nhiên;Văn hóa
Bắc Giang,Chùa Bổ Đà,Tham quan vườn tháp; lễ Phật; tìm hiểu kiến trúc cổ,"Chùa Bổ Đà là ngôi chùa cổ kính mang đậm dấu ấn văn hóa vùng Kinh Bắc, nổi tiếng với vườn tháp bằng gạch nung lớn nhất Việt Nam và bộ mộc bản kinh Phật cổ. Không gian chùa thanh tịnh với những bức tường đất nâu đặc trưng.",Tâm linh,Văn hóa;Lịch sử
Bắc Ninh,Đền Đô,Dâng hương 8 vị vua triều Lý; xem biểu diễn quan họ,"Đền Đô là nơi thờ tự 8 vị vua triều Lý, công trình có kiến trúc tinh xảo và phong thủy hài hòa. Du khách đến đây để tri ân công đức tổ tiên và thưởng thức những làn điệu dân ca Quan họ Bắc Ninh mượt mà của các nghệ nhân.",Tâm linh,Văn hóa;Lịch sử
Bắc Ninh,Làng nghề đúc đồng Đại Bái,Tìm hiểu quy trình đúc đồng; mua đồ thủ công,"Làng Đại Bái nổi tiếng với nghề đúc đồng truyền thống từ hàng trăm năm nay, chuyên sản xuất các vật dụng thờ cúng và đồ gia dụng tinh xảo. Du khách sẽ được tham quan các xưởng sản xuất và tìm hiểu nghệ thuật chạm khắc đồng tài hoa.",Văn hóa,Giải trí - Nghỉ dưỡng
Hải Phòng,Đảo Hòn Dấu,Tham quan hải đăng cổ; đi bộ rừng nguyên sinh,"Đảo Hòn Dấu là một viên ngọc nhỏ nằm cách Đồ Sơn không xa, nổi tiếng với thảm thực vật nguyên sinh và ngọn hải đăng hơn 100 năm tuổi. Đây là nơi lý tưởng để tìm về sự tĩnh lặng và khám phá những câu chuyện tâm linh huyền bí.",Biển Đảo,Sinh thái - Thiên nhiên;Tâm linh
Hải Phòng,Tuyệt Tình Cốc Hải Phòng,Chụp ảnh sống ảo; ngắm hồ nước xanh ngắt,"Đây là một hồ nước nhân tạo có màu xanh ngọc bích cực kỳ đặc biệt nằm giữa những núi đá vôi tại huyện Thủy Nguyên. Với vẻ đẹp kỳ ảo và lạ mắt, nơi đây đã trở thành điểm check-in gây sốt trong giới trẻ những năm gần đây.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Hải Dương,Cánh đồng hoa rễ Chí Linh,Chụp ảnh check-in; dạo bộ cánh đồng rễ,"Cánh đồng hoa rễ xanh mướt như một thảo nguyên thu nhỏ dưới chân núi Côn Sơn tạo nên vẻ đẹp hoang sơ và lãng mạn. Đây là loài cây đặc trưng của vùng đất Chí Linh, mang lại không gian thư giãn tuyệt vời cho du khách vào mùa thu đông.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Hưng Yên,Phố Hiến,Tham quan chùa Chuông; đền Mẫu; tìm hiểu lịch sử,"Phố Hiến từng là một thương cảng sầm uất Thứ nhất Kinh Kỳ, thứ nhì Phố Hiến. Du khách sẽ được khám phá những công trình kiến trúc cổ kính, những pho tượng Phật quý giá và cảm nhận hơi thở của một đô thị cổ vang bóng một thời.",Văn hóa,Lịch sử;Tâm linh
Hưng Yên,Làng Nôm,Dạo bộ làng cổ; chụp ảnh cầu đá; tham quan chùa Nôm,"Làng Nôm là ngôi làng cổ hiếm hoi còn giữ được nguyên vẹn kiến trúc cổng làng, giếng nước và cây cầu đá cổ hơn 200 năm tuổi. Chùa Nôm với hàng trăm pho tượng đất nung cổ kính là điểm nhấn tâm linh đặc sắc của vùng đất này.",Văn hóa,Tâm linh;Lịch sử
Thái Bình,Nhà thờ Bác Trạch,Tham quan kiến trúc Gothic; chụp ảnh check-in,Nhà thờ Bác Trạch là một trong những nhà thờ đẹp nhất Việt Nam với kiến trúc Gothic nguy nga và những họa tiết trang trí vô cùng tinh xảo. Vẻ đẹp lộng lẫy như một tòa lâu đài châu Âu của nhà thờ thu hút rất nhiều du khách đến tham quan.,Tâm linh,Kiến trúc;Văn hóa
Thái Bình,Biển Cồn Đen,Tắm biển; dạo bộ rừng ngập mặn; đi cầu tre xuyên rừng,Cồn Đen được mệnh danh là cồn biển đẹp nhất miền Bắc với những bãi cát thoải và hệ sinh thái rừng ngập mặn phong phú. Du khách có thể trải nghiệm đi cầu tre dài hàng trăm mét xuyên qua rừng sú vẹt và tận hưởng gió biển mát rượi.,Biển Đảo,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Hà Nam,Khu du lịch Tam Chúc,Đi thuyền trên hồ Lục Nhạc; viếng chùa Tam Chúc,"Tam Chúc là quần thể chùa lớn nhất thế giới nằm giữa vùng núi đá vôi và hồ nước mênh mông thơ mộng. Với kiến trúc đồ sộ, các bức phù điêu bằng đá núi lửa và không gian thiêng liêng, nơi đây là điểm đến tâm linh hàng đầu miền Bắc.",Tâm linh,Văn hóa;Sinh thái - Thiên nhiên
Hà Nam,Làng Vũ Đại (Làng Nhân Hậu),Tìm hiểu nghề kho cá; tham quan nhà Bá Kiến,"Làng Vũ Đại nổi tiếng qua các tác phẩm của nhà văn Nam Cao và đặc sản cá kho niêu đất trứ danh. Du khách sẽ được thăm ngôi nhà cổ của Bá Kiến, tìm hiểu quy trình kho cá cầu kỳ và thưởng thức hương vị ẩm thực đặc sắc.",Văn hóa,Ẩm thực;Lịch sử
Nam Định,Vườn quốc gia Xuân Thủy,Ngắm chim di cư; đi thuyền xuyên rừng ngập mặn,"Xuân Thủy là khu RAMSAR đầu tiên của Việt Nam, nơi dừng chân của hàng ngàn loài chim di cư quý hiếm. Du khách sẽ được hòa mình vào thiên nhiên hoang sơ của vùng cửa sông Hồng và khám phá đời sống sinh vật biển đa dạng.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Nam Định,Nhà thờ lớn Bùi Chu,Tham quan kiến trúc cổ; lễ đường; tìm hiểu lịch sử,"Nhà thờ Bùi Chu là một công trình kiến trúc tôn giáo lâu đời và uy nghiêm mang phong cách Pháp đặc trưng. Với lịch sử hơn 100 năm, đây là trung tâm tâm linh quan trọng và là niềm tự hào của đồng bào Công giáo vùng đất Thành Nam.",Tâm linh,Văn hóa;Lịch sử
Ninh Bình,Khu bảo tồn thiên nhiên Vân Long,Đi thuyền nan ngắm cảnh; xem voọc mông trắng,"Vân Long là vùng đất ngập nước nội đồng lớn nhất miền Bắc với mặt nước phẳng lặng như gương soi bóng những ngọn núi đá vôi kỳ vĩ. Đây là nơi cư ngụ của loài voọc mông trắng quý hiếm và mang vẻ đẹp hoang sơ, tĩnh lặng tuyệt đối.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Thanh Hóa,Khu di tích Lam Kinh,Tham quan đền thờ vua Lê; tìm hiểu lịch sử,"Lam Kinh là quê hương của vị anh hùng dân tộc Lê Lợi, nơi khởi nguồn của cuộc khởi nghĩa Lam Sơn thắng lợi lừng lẫy. Du khách sẽ được chiêm ngưỡng những công trình kiến trúc gỗ quý và các lăng mộ vua triều Hậu Lê giữa rừng già xanh mát.",Văn hóa,Lịch sử;Tâm linh
Nghệ An,Cánh đồng hoa hướng dương Nghĩa Đàn,Chụp ảnh sống ảo; ngắm hoa,"Cánh đồng hoa hướng dương rộng hàng chục hecta tại Nghĩa Đàn tạo nên một biển hoa vàng rực rỡ dưới nắng. Vào mỗi mùa hoa nở, nơi đây thu hút hàng ngàn du khách đến check-in và tận hưởng không gian rực rỡ như một vùng quê châu Âu.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Đà Nẵng,Đèo Hải Vân,Phượt bằng xe máy; ngắm vịnh Lăng Cô từ trên cao,"Đèo Hải Vân là một trong những cung đường ven biển đẹp nhất thế giới với những khúc cua hiểm trở và cảnh quan kỳ vĩ. Đứng từ đỉnh đèo, du khách có thể ngắm nhìn toàn cảnh biển xanh, núi cao và mây phủ quanh năm.",Mạo hiểm - Trải nghiệm,Sinh thái - Thiên nhiên
Đà Nẵng,Rừng dừa Bảy Mẫu,Đi thuyền thúng; xem múa thúng; câu cua đá,"Rừng dừa Bảy Mẫu mang lại không gian sông nước miền Tây ngay giữa lòng miền Trung. Du khách sẽ được ngồi trên những chiếc thuyền thúng tròn, len lỏi qua các rạch dừa xanh mướt và thưởng thức những màn trình diễn xoay thúng điệu nghệ.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng;Văn hóa
Quảng Nam,Đảo Cù Lao Chàm,Tắm biển; lặn ngắm san hô; ăn hải sản,"Cù Lao Chàm là khu dự trữ sinh quyển thế giới nổi tiếng với hệ sinh thái biển phong phú. Du khách sẽ được đắm mình trong làn nước trong vắt tại bãi Ông, bãi Xếp và khám phá thế giới đại dương rực rỡ với hàng trăm loài san hô và cá biển.",Biển Đảo,Sinh thái - Thiên nhiên;Giải trí - Nghỉ dưỡng
Quảng Ninh,Đảo Ngọc Vừng,Tắm biển hoang sơ; đạp xe quanh đảo,"Đảo Ngọc Vừng mang vẻ đẹp bình yên với bãi tắm Trường Chinh cát trắng mịn và làn nước xanh trong. Đây là nơi lý tưởng để du khách trốn khỏi sự ồn ào, trải nghiệm cuộc sống ngư dân và thưởng thức hải sản tươi ngon với giá cả phải chăng.",Biển Đảo,Sinh thái - Thiên nhiên
Quảng Ninh,Núi Bài Thơ,Leo núi ngắm toàn cảnh vịnh Hạ Long; chụp ảnh kỷ niệm,"Núi Bài Thơ là ngọn núi đá vôi đẹp nhất nằm ngay trung tâm thành phố Hạ Long. Chinh phục đỉnh núi, du khách sẽ được thu vào tầm mắt toàn cảnh kỳ quan thiên nhiên thế giới vịnh Hạ Long với hàng ngàn đảo đá nhấp nhô trên mặt biển xanh ngắt.",Sinh thái - Thiên nhiên,Mạo hiểm - Trải nghiệm
Quảng Ninh,Làng chài Cửa Vạn,Chèo thuyền kayak; tham quan lớp học trên biển,"Cửa Vạn từng được bình chọn là một trong những làng chài đẹp nhất thế giới. Du khách sẽ được khám phá cuộc sống lênh đênh của ngư dân, chèo thuyền giữa những dãy núi đá vôi và tìm hiểu văn hóa biển đảo đặc sắc của vùng vịnh.",Văn hóa,Sinh thái - Thiên nhiên
Thanh Hóa,Biển Hải Tiến,Tắm biển; tham quan bến thuyền; ăn hải sản tươi sống,"Biển Hải Tiến mới được đưa vào khai thác nên vẫn giữ được vẻ hoang sơ, sạch sẽ với bờ biển dài và hàng phi lao xanh ngắt. Đây là lựa chọn tuyệt vời cho các gia đình muốn có một kỳ nghỉ yên tĩnh và tiết kiệm.",Biển Đảo,Giải trí - Nghỉ dưỡng
Nghệ An,Thác Xao Va,Ngắm thác nước; tắm suối; tìm hiểu văn hóa người Thái,Thác Xao Va hùng vĩ giữa núi rừng Quế Phong với dòng nước đổ mạnh từ trên cao tạo thành màn sương khói mờ ảo. Du khách có thể bơi lội trong hồ nước tự nhiên dưới chân thác và giao lưu văn hóa đặc sắc cùng đồng bào dân tộc Thái địa phương.,Sinh thái - Thiên nhiên,Văn hóa
Nghệ An,Rừng săng lẻ,Chụp ảnh check-in; dã ngoại; ngắm rừng cây cổ thụ,"Rừng săng lẻ Tương Dương là khu rừng săng lẻ đẹp nhất Đông Dương với những hàng cây cao vút, thân trắng bạc soi bóng xuống dòng sông Lam. Không gian nơi đây mát mẻ quanh năm, là điểm dừng chân lý tưởng trên hành trình khám phá miền Tây Nghệ An.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
Nghệ An,Mường Lống,Săn mây; tham quan vườn mận; ngắm hoa cải,"Mường Lống được ví như Đà Lạt của xứ Nghệ với khí hậu mát mẻ và mây mù bao phủ quanh năm. Du khách sẽ được đắm mình trong sắc trắng của hoa mận, hoa cải và trải nghiệm nếp sống mộc mạc của đồng bào người Mông trên đỉnh núi cao.",Sinh thái - Thiên nhiên,Giải trí - Nghỉ dưỡng
